subcarrier,frequency_hz,channel_gain,power_uniform_w,power_water_filling_w,power_edge_weighted_w,power_sensing_optimal_w,power_min_power_isac_w,power_max_rate_isac_w,power_dinkelbach_ee_isac_w,power_dinkelbach_ee_rmin_isac_w
50,277500.0,3.047977178171612e-13,0.015625,0.01557292526492241,0.015670787545787546,0.0,0.00925373822375336,0.01347741378640116,0.006412014718260444,0.009253733011472776
51,292500.0,1.0175792980989859e-12,0.015625,0.016260734105003054,0.017410714285714286,0.0,0.010466467558019327,0.014729346768406069,0.007543647503505128,0.010467292671613502
52,307500.0,1.009604873517757e-12,0.015625,0.01625841098891299,0.019242216117216118,0.0,0.011079870811266226,0.015372184011208972,0.008069146162263199,0.011079399366436971
53,322500.0,4.790857653660003e-13,0.015625,0.015930143718198272,0.02116529304029304,0.0,0.011476938730856924,0.015783653330628956,0.008377708650651242,0.011476696150351125
54,337500.0,1.1858800333561273e-12,0.015625,0.016302475624307707,0.023179945054945056,0.0,0.012714961419208602,0.017008231168093798,0.009530056960375422,0.012715922555559393
55,352500.0,7.565147684661541e-13,0.015625,0.016159237046880368,0.02528617216117216,0.0,0.013622090296725483,0.017857073383961634,0.010361600605098761,0.01362142495820976
56,367500.0,4.025390015480164e-13,0.015625,0.015811349073916053,0.02748397435897436,0.0625,0.014567692612088602,0.018673068115041373,0.01126165221082999,0.014566619140293188
57,382500.0,5.984721462944733e-13,0.015625,0.016054764030840534,0.029773351648351647,0.0625,0.016439934564887522,0.020300348171865587,0.01315615399161637,0.016439747030814526
58,397500.0,7.039248765911629e-13,0.015625,0.016129680764103795,0.032154304029304026,0.0625,0.01861992437534537,0.022038737943680973,0.015509573751201034,0.01862016002728993
59,412500.0,1.2367669578555724e-12,0.015625,0.016312859723597282,0.034626831501831504,0.0625,0.02162673541790018,0.02425510212278355,0.01903220004490143,0.021626608953029404
60,427500.0,1.0435645199648579e-13,0.015625,0.013686900549107475,0.037190934065934066,0.0625,0.02297214777990407,0.024169519818397857,0.02175834639609396,0.02297526483209285
61,442500.0,9.802946424376587e-13,0.015625,0.01624954754636405,0.03984661172161172,0.0625,0.03152483017176993,0.029985640929993087,0.0342630491502624,0.03152348653112567
62,457500.0,2.5247973759352775e-12,0.015625,0.016436313100632503,0.04259386446886447,0.0625,0.04174545713229243,0.03447571270191774,0.059241476023334495,0.041747907174935456
63,472500.0,1.5636264785736906e-13,0.015625,0.01464078116832319,0.045432692307692306,0.0625,0.0601865391339648,0.0386353710342845,0.06249999968916492,0.060186464473827014
