asymmetry,method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min
0.0,exact_efim,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.5,uniform,fim_mismatch_percent,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,uniform,centroid_magnitude_hz,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,uniform,rate_spectral_efficiency,8,316.9768661286766,318.0881791712577,9.704198171360286,308.86395342977863,325.08977882757455,302.8972696559291,312.15660621737226,324.4861452199656,327.66099208818883,328.9999429531702,302.1835621638959
0.5,uniform,ee_mbit_per_j,8,1.4162796146174914,1.421245055871577,0.04335918331884377,1.38003043021816,1.4525287990168227,1.353370779313726,1.3947422830988974,1.4498317126849527,1.4640171986919075,1.4699997451099094,1.3501818734982582
0.5,uniform,dense_psl_db,8,-13.256466474732292,-13.256466474732292,0.0,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292
0.5,uniform,independently_evaluated_unknown_fim,8,2.0255998281153943e+18,2.0255998281153943e+18,0.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18
0.5,uniform,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.5,uniform,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.5,water_filling,fim_mismatch_percent,8,0.046531544379330846,0.01521932422112929,0.05557516258289463,6.954573705823808e-05,0.09299354302160345,0.001517626483282044,0.004663809693075123,0.09229123914110286,0.12785657472464992,0.14199257049960984,0.0003317449472125256
0.5,water_filling,centroid_magnitude_hz,8,4836.136209330613,3416.5267972525075,3817.777358314761,1644.3944636552633,8027.8779550059635,916.4463454239628,1863.710081754248,8520.550807672611,9913.11696884514,10483.689225090502,509.3267332651598
0.5,water_filling,rate_spectral_efficiency,8,318.3539524960757,319.6744140068795,9.198808663833413,310.66355599904233,326.04434899310905,305.1461220733687,313.12725516576114,325.4812818661012,328.551425226359,329.63444032615274,304.7260192397425
0.5,water_filling,ee_mbit_per_j,8,1.4224325537057019,1.4283324881152148,0.041101059987526785,1.3880712076549717,1.456793899756432,1.363418843306283,1.3990792252084578,1.454278067912922,1.467995729734747,1.4728347333717766,1.361541788092407
0.5,water_filling,dense_psl_db,8,-13.074707380425133,-13.023144437397182,0.6141879340512354,-13.588181343104495,-12.561233417745772,-13.806312019113669,-13.61052745266172,-12.724122832864655,-12.257317621139743,-12.189719205731821,-13.877604807095054
0.5,water_filling,independently_evaluated_unknown_fim,8,2.0283335744602378e+18,2.0361496340812237e+18,5.822382460714271e+16,1.9796572389513677e+18,2.077009909969108e+18,1.9525519168953167e+18,1.9799517337286364e+18,2.0697150780542244e+18,2.0998600182856458e+18,2.105140358335099e+18,1.9439380935149066e+18
0.5,water_filling,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.5,water_filling,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.5,conventional_s2,fim_mismatch_percent,8,0.04363308539177151,0.02353376633423062,0.04578052043360161,0.0053596125061840735,0.08190655827735896,0.0012929858222695727,0.01025487723962417,0.07696633571304584,0.11170943026154241,0.12377653850754382,0.00029355074191855383
0.5,conventional_s2,centroid_magnitude_hz,8,5260.1340825446005,4559.843306339812,3557.3792330682204,2286.0906175285118,8234.177547560688,917.1001514613419,2928.9659086183515,8258.312555116005,9930.776127199353,10483.413664659001,510.5345612948175
0.5,conventional_s2,rate_spectral_efficiency,8,317.2085495380137,318.8732439226517,9.116738193828894,309.5867656709521,324.8303334050753,304.1305104738939,311.88704641300865,324.30706769335694,327.02675734775613,328.1743635089198,304.09880253294205
0.5,conventional_s2,ee_mbit_per_j,8,1.4173147965550787,1.4247527927900716,0.04073436203330016,1.3832600176660008,1.4513695754441567,1.358881005199673,1.39353786745686,1.4490315797453353,1.4611833845768998,1.4663109864276793,1.3587393313031508
0.5,conventional_s2,dense_psl_db,8,-10.418549544409284,-10.468800410142183,0.1369238295813613,-10.533020730608964,-10.304078358209605,-10.529097667633337,-10.525202382746471,-10.363808480901476,-10.199304831105087,-10.149410180948134,-10.530929398430116
0.5,conventional_s2,independently_evaluated_unknown_fim,8,2.3414023415370906e+18,2.341873152222703e+18,1072373942747392.8,2.340505814485143e+18,2.342298868589038e+18,2.3398077048138906e+18,2.340621535731279e+18,2.3421842011117614e+18,2.342394126430964e+18,2.3424175373916216e+18,2.3395250419127025e+18
0.5,conventional_s2,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.5,conventional_s2,false_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,
0.5,exact_efim,fim_mismatch_percent,8,0.02074836160168662,0.009092741419168394,0.022304993454904085,0.0021009204165730357,0.0393958027868002,0.0005503772243415077,0.005591821890877929,0.039460597706073824,0.052887267710928734,0.05888254783880666,0.00014623949062927407
